industry_sector,founding_team_size,initial_funding_usd,num_funding_rounds,market_type,country_region,num_competitors_proxy,year_founded,outcome,market_demand,pain_point_severity,idea_novelty,scalability,barriers_to_entry,revenue_model_strength,acquisition_difficulty,willingness_to_pay
Local,2.0,3900000.0,2,Unknown,USA,1511.0,2008,active,7,5,4,6,4,6,6,6
Mobile,4.0,113750000.0,6,Unknown,USA,1015.0,2004,acquired,8,5,4,9,5,8,6,6
Manufacturing,2.0,611387.0,2,B2B,USA,84.0,2002,failed,6,5,6,6,6,6,5,6
Coupons,2.0,1073497.0,2,Unknown,FRA,8445.0,2008,failed,6,4,3,5,4,5,7,5
Productivity Software,3.0,14500000.0,1,Unknown,USA,699.0,2003,acquired,7,5,6,9,6,7,5,6
Software,1.0,6000000.0,1,Unknown,USA,3413.0,2002,failed,6,4,3,7,4,5,7,5
Corporate Training,2.0,74000000.0,1,Unknown,AUS,1511.0,2013,ipo,8,6,4,7,6,8,5,7
Entertainment,2.0,10600000.0,2,B2C,USA,8445.0,2008,acquired,7,4,4,7,3,7,9,5
Biotechnology,2.0,46000000.0,6,Unknown,USA,1084.0,2005,ipo,10,9,7,7,8,10,5,9
Software,3.0,22000000.0,2,Unknown,USA,3702.0,2003,active,7,5,4,8,5,7,6,6
Cloud Data Services,2.0,31376300.0,2,B2B,USA,2318.0,2010,active,8,6,4,9,5,8,5,7
Domains,2.0,42658161.0,2,Unknown,USA,1511.0,2007,ipo,8,6,4,7,6,8,5,7
Market Research,2.0,3017000.0,3,Unknown,USA,634.0,2012,active,7,5,5,6,6,7,5,6
Shopping,2.0,138000.0,1,Unknown,CHE,5210.0,2011,failed,5,4,3,5,4,5,7,5
Finance Technology,2.0,19569145.0,6,Unknown,AUS,1511.0,2006,ipo,10,8,4,8,6,10,4,9
E-Commerce,2.0,450000.0,1,B2C,USA,274.0,2011,active,7,5,5,8,6,6,6,6
Semiconductors,2.0,5675631.0,3,Unknown,USA,208.0,2006,active,7,6,7,6,8,7,5,6
Blogging Platforms,4.0,40500000.0,5,Unknown,USA,98.0,2007,active,8,5,6,7,6,7,5,6
Software,2.0,7981405.0,2,Unknown,USA,2602.0,1999,active,7,5,5,8,4,7,6,6
Software,2.0,27000000.0,3,Unknown,GBR,3413.0,2002,acquired,8,5,4,9,5,7,6,6
Automotive,2.0,15700000.0,2,Unknown,USA,97.0,2011,acquired,7,5,6,7,6,7,5,6
Auctions,2.0,34000000.0,1,Unknown,USA,1511.0,1992,acquired,7,5,5,7,5,7,6,6
Email Marketing,2.0,87168000.0,1,B2B,DEU,2602.0,1999,acquired,8,6,5,8,5,9,5,8
E-Commerce,2.0,1000000.0,2,B2C,TUR,5210.0,2011,acquired,8,5,4,9,4,7,7,6
Analytics,1.0,2300000.0,2,B2B,USA,684.0,2011,active,7,6,5,9,6,10,3,10
Curated Web,2.0,3400000.0,1,B2C,USA,5695.0,2013,active,7,4,3,6,3,6,9,5
Data Centers,2.0,33521971.0,6,Unknown,CAN,229.0,1996,acquired,8,5,7,7,6,8,5,6
Health Care,2.0,54000000.0,1,Unknown,USA,917.0,2003,ipo,9,8,5,7,6,10,5,9
Apps,3.0,2000000.0,2,Unknown,USA,4079.0,2010,failed,6,4,3,5,4,5,7,5
Biotechnology,2.0,45500000.0,2,Unknown,USA,1126.0,2010,active,8,9,6,6,7,9,6,8
Health Care,2.0,10500000.0,1,Unknown,ISR,214.0,2004,failed,7,7,5,5,6,7,6,7
Social Network Media,3.0,802100.0,2,B2C,DEU,3456.0,2007,failed,5,3,3,5,3,4,10,4
Biotechnology,2.0,12551875.0,2,Unknown,USA,1511.0,2006,active,8,9,6,6,7,9,6,8
Curated Web,2.0,1200000.0,1,B2C,USA,9634.0,2010,acquired,7,4,4,7,3,6,9,5
Games,1.0,300000.0,1,B2C,USA,9638.0,2009,active,6,4,4,6,3,5,9,5
